series_slug,series_name,episode_no,episode_slug,label,input_images,kept_images,dropped_images,dropout_rate,dominant_width,story_start_position,story_end_position,chronology_bin,url
the-breaker-eternal-force,The Breaker: Eternal Force,9,episode-000009-episode-9,"Episode 9 Sep 11, 2022 like 20,573 #9",409,163,246,0.6014669926650367,800,191,381,0,https://www.webtoons.com/en/action/the-breaker-eternal-force/episode-9/viewer?title_no=4501&episode_no=9
the-breaker-eternal-force,The Breaker: Eternal Force,10,episode-000010-episode-10,"Episode 10 Sep 18, 2022 like 20,971 #10",413,168,245,0.5932203389830508,800,191,386,0,https://www.webtoons.com/en/action/the-breaker-eternal-force/episode-10/viewer?title_no=4501&episode_no=10
the-breaker-eternal-force,The Breaker: Eternal Force,11,episode-000011-episode-11,"Episode 11 Sep 25, 2022 like 19,799 #11",376,130,246,0.6542553191489362,800,191,348,1,https://www.webtoons.com/en/action/the-breaker-eternal-force/episode-11/viewer?title_no=4501&episode_no=11
the-breaker-eternal-force,The Breaker: Eternal Force,12,episode-000012-episode-12,"Episode 12 Oct 2, 2022 like 19,696 #12",378,131,247,0.6534391534391535,800,191,349,1,https://www.webtoons.com/en/action/the-breaker-eternal-force/episode-12/viewer?title_no=4501&episode_no=12
the-breaker-eternal-force,The Breaker: Eternal Force,13,episode-000013-episode-13,"Episode 13 Oct 9, 2022 like 19,448 #13",385,141,244,0.6337662337662338,800,191,357,1,https://www.webtoons.com/en/action/the-breaker-eternal-force/episode-13/viewer?title_no=4501&episode_no=13
the-breaker-eternal-force,The Breaker: Eternal Force,14,episode-000014-episode-14,"Episode 14 Oct 16, 2022 like 18,767 #14",378,132,246,0.6507936507936508,800,191,350,1,https://www.webtoons.com/en/action/the-breaker-eternal-force/episode-14/viewer?title_no=4501&episode_no=14
the-breaker-eternal-force,The Breaker: Eternal Force,19,episode-000019-episode-19,"Episode 19 Nov 20, 2022 like 16,896 #19",387,141,246,0.6356589147286822,800,191,358,1,https://www.webtoons.com/en/action/the-breaker-eternal-force/episode-19/viewer?title_no=4501&episode_no=19
the-breaker-eternal-force,The Breaker: Eternal Force,20,episode-000020-episode-20,"Episode 20 Nov 27, 2022 like 16,389 #20",381,137,244,0.6404199475065617,800,191,354,1,https://www.webtoons.com/en/action/the-breaker-eternal-force/episode-20/viewer?title_no=4501&episode_no=20
the-breaker-eternal-force,The Breaker: Eternal Force,21,episode-000021-episode-21,"Episode 21 Dec 4, 2022 like 16,111 #21",386,143,243,0.6295336787564767,800,191,359,2,https://www.webtoons.com/en/action/the-breaker-eternal-force/episode-21/viewer?title_no=4501&episode_no=21
the-breaker-eternal-force,The Breaker: Eternal Force,22,episode-000022-episode-22,"Episode 22 Dec 11, 2022 like 16,268 #22",385,140,245,0.6363636363636364,800,191,358,2,https://www.webtoons.com/en/action/the-breaker-eternal-force/episode-22/viewer?title_no=4501&episode_no=22
the-breaker-eternal-force,The Breaker: Eternal Force,23,episode-000023-episode-23,"Episode 23 Dec 18, 2022 like 16,235 #23",388,141,247,0.6365979381443299,800,191,360,2,https://www.webtoons.com/en/action/the-breaker-eternal-force/episode-23/viewer?title_no=4501&episode_no=23
the-breaker-eternal-force,The Breaker: Eternal Force,24,episode-000024-episode-24,"Episode 24 Dec 25, 2022 like 15,634 #24",381,134,247,0.6482939632545932,800,191,352,2,https://www.webtoons.com/en/action/the-breaker-eternal-force/episode-24/viewer?title_no=4501&episode_no=24
the-breaker-eternal-force,The Breaker: Eternal Force,25,episode-000025-episode-25,"Episode 25 Jan 1, 2023 like 15,027 #25",367,122,245,0.667574931880109,800,191,338,2,https://www.webtoons.com/en/action/the-breaker-eternal-force/episode-25/viewer?title_no=4501&episode_no=25
the-breaker-eternal-force,The Breaker: Eternal Force,29,episode-000029-episode-29,"Episode 29 Jan 29, 2023 like 12,925 #29",382,138,244,0.6387434554973822,800,191,355,2,https://www.webtoons.com/en/action/the-breaker-eternal-force/episode-29/viewer?title_no=4501&episode_no=29
the-breaker-eternal-force,The Breaker: Eternal Force,31,episode-000031-episode-31,"Episode 31 Feb 12, 2023 like 12,592 #31",367,121,246,0.670299727520436,800,191,338,3,https://www.webtoons.com/en/action/the-breaker-eternal-force/episode-31/viewer?title_no=4501&episode_no=31
